,Date,User,Tweet
4129,2022-12-19 21:35:37+00:00,ShayEscobarr,"@Cristiano You gave me and us fans so much to celebrate and imitate! The LEGENDARY goals, free kick stance, headers, wink, celebrations but your MENTALITY is one of one. You made every fan in each stadium  you scored in chant your name and scream suiiiiiii on top of their lungs."
4130,2022-12-19 21:35:37+00:00,_dedeardiansya,@hilmanski Ronaldo is better
4131,2022-12-19 21:35:34+00:00,nharnadespite,@BenopaOnyx1 He’s just mocking Ronaldo indirectly😂
4132,2022-12-19 21:35:30+00:00,commonWsrma,@YungCule @lostaryann @amitttrmfc Ronaldo was left out of the starting lineup against the Swiss after Santos expressed frustration about his team captain's attitude in the previous game against South Korea (u must be in a wheelchair with a peanut head that doesn’t have a brain surely)
4133,2022-12-19 21:35:26+00:00,nahmean2023,@Khaleddinho @ferrantastic @hamse_mahdi @barcal899 @TrollFootball Ronaldo is making out with his sister right now.
4134,2022-12-19 21:35:21+00:00,Big_cliff98,@CR7tayfahizmet Ronaldo my GOAT!!
4135,2022-12-19 21:35:19+00:00,psylensgh,@Opresii So Ronaldo make beans be that😂😂😂
4136,2022-12-19 21:35:19+00:00,stanleywilder21,"@Borisreplaceme1 @talkSPORT @DarrenBent Ronaldo has always been surrounded by elite players providing him service. Modric, Scholes, Rooney, Kroos, Casemiro, Di Maria, Xabi Alonso, Ozil, Carrick etc. stop making it out like Ronaldo played with trash. Messi carried his teammates just as much coz he’s a playmaker."
4137,2022-12-19 21:35:16+00:00,its_mee_BJ,@goal Look Argentina is had 2 world cup previously and had qualified to final many time. Where Portugal played only 8 edition and in that they never qualified for final ....We can compare #Messi𓃵  and #Ronaldo𓃵  only in clubs ...strength of their national team totally varies.
4138,2022-12-19 21:35:13+00:00,mufc_kiwi,@19099____ @wonderflooo @FutbolJan10 @TheEuropeanLad argentina won the world cup and ronaldo still lives rent free in your head💀💀💀
4139,2022-12-19 21:35:12+00:00,BuckwildHenry,"@Makavelli275 @itzz_blitz1 Oh sorry,ur gonna have to live with your bitterness for a loooooooong time.The ronaldo/Messi debate was buried yesterday for ever.😆"
4140,2022-12-19 21:35:07+00:00,naijasureguys,Ronaldo Reacts To Messi’s World Cup Win https://t.co/q1wL4w2Nv9 https://t.co/NfaIyrJk9T
4141,2022-12-19 21:35:05+00:00,AsareOptimistic,"@SaddickAdams He wouldn't have granted this interview if he wasn't exiting. Smh, GH Ronaldo I guess 😒"
4142,2022-12-19 21:35:04+00:00,truth_warrior__,@1xBet_Eng Ronaldo@was kicked out
4143,2022-12-19 21:35:02+00:00,TvPrometheus,@GPv3000 He had less goals than Ronaldo and now he has more than Pele
4144,2022-12-19 21:34:55+00:00,polliticss,@TeamCRonaldo Fire those portugal coaches .. ronaldo can coach and play 🤣🤣🤣🤣🦾🦾🦾
4145,2022-12-19 21:34:55+00:00,kurtbartough,@brfootball Which Ronaldo is in 2nd place? That needs to be clarified because the CR7 fan base will claim it because they’re clutching at straws right now lol!
4146,2022-12-19 21:34:53+00:00,NBradjordan,@darren30303 @mosalad_11 @KIopptinho Better all time and best right now are 2 different things. Iniesta still plays and is more accomplished than Thiago. Is he better than him now? This os not Messi slander but he isn’t in his prime anymore. He is more in his prime than a washed Ronaldo atm.
4147,2022-12-19 21:34:49+00:00,utdclayy,@StokeyyG2 This will break Ronaldo's app
4148,2022-12-19 21:34:49+00:00,NothinMeans,"@L06Vilas @NAjKONn @BarcaWorldwide Lmao, R9 was far more marked and was better than Ronaldo. He was better at pace (even injuried), dribbling, and of course he did not won any league titles, he was not able to get Penaldo's amazing 2017 team, for example. That's the average Penaldo fan."
4149,2022-12-19 21:34:47+00:00,olabaghdad,@sdzaiii1 @InformST Poor Ronaldo he’s crying in his car
4150,2022-12-19 21:34:46+00:00,boredinclass69,"@ariasky85 @MahmoudAlissa20 @AlThawadiZ @MarkOgden_ @Cristiano My C2 certificate actually says it is lol. But for you again.. at this moment in time, these suggestions are so off limits. If they prove to be correct and only then you are in the right to accuse him of this act, and you’d rightly do so. But right now you aren’t. Understand now?"
4151,2022-12-19 21:34:42+00:00,mondli_wasedbn,@piersmorgan @Cristiano Definitely factos now 👏🏽
4152,2022-12-19 21:34:40+00:00,theaayomikun,@rizzy1932 @StokeyyG2 If Mbappe has a better career than Messi and that's a big if. Ronaldo is literally smoked cause he comes nowhere near Messi
4153,2022-12-19 21:34:34+00:00,dEE__frank,"@kwadwosheldon @Davidsopuru @Cristiano Awon Clout chaser,you too wan trend...upon you dey famous already.omo ehen"
4154,2022-12-19 21:34:34+00:00,donluca99,Yeah but Messi has all the other things that Ronaldo has and then some. https://t.co/aD23aoBOb4
4155,2022-12-19 21:34:32+00:00,capodmunii,@Theophi89697191 @S_OJ21 @MadridPreeti Ronaldo at 35 was better at messi at 35 don’t wanna hear it
4156,2022-12-19 21:34:31+00:00,judyjayofficial,Messi owns the media . While Cr7 owns the street . #FIFAWorldCup #Messi𓃵 #Ronaldo𓃵
4157,2022-12-19 21:34:28+00:00,Gary601828321,"@JeremyKyleLive @PiersUncensored @jkyleofficial @piersmorgan Maradona was a drug cheat, shouldn’t be mentioned because of that. Messi and Pele are at the top…..I’d have Zidane above Ronaldo, the man was a genius and a team player."
4158,2022-12-19 21:34:27+00:00,brojaAL,"""messi won it for neymar ronaldo benzema suarez etc etc"" SHUT THE FUCK UPPPP https://t.co/BVTVSA98FQ"
4159,2022-12-19 21:34:23+00:00,Aperngo9,@VapeEclipse @Sarch11e But They Use The argument They Use now for Messi and Ronaldo one is technically gifted and the other goal machine they really wouldn't get to the levels of Ronaldo and Messi though
4160,2022-12-19 21:34:23+00:00,Peekay_Codes,@nocontextfooty Ronaldo fans have started liking the egg picture so rapidly 😄
4161,2022-12-19 21:34:22+00:00,Junijosh2,@thisisoslooo @Mon3yJunky @TeamCRonaldo Ronaldo with the 18 goals what did that give man u?
4162,2022-12-19 21:34:20+00:00,jewelsbelgium,"intensief ronaldo vs. messi gevolgd sinds 2006 en sinds gisteren is het ook settled 🐐 

my childhood is officially over"
4163,2022-12-19 21:34:19+00:00,Musyoks6,@_jephron Ronaldo is the best social media influencer ever
4164,2022-12-19 21:34:19+00:00,khansha__,My brother is a huge Ronaldo fan and my ultimate goal for next two weeks is to tease him. 🤡🤡
